image,level,train_image_name
0.png,0,0.png
1.png,0,1.png
2.png,0,2.png
3.png,0,3.png
4.png,0,4.png
5.png,0,5.png
6.png,0,6.png
7.png,1,7.png
8.png,0,8.png
9.png,1,9.png
10.png,0,10.png
11.png,0,11.png
12.png,1,12.png
13.png,0,13.png
14.png,1,14.png
15.png,1,15.png
16.png,0,16.png
17.png,1,17.png
18.png,1,18.png
19.png,0,19.png
20.png,1,20.png
21.png,0,21.png
22.png,0,22.png
23.png,1,23.png
24.png,1,24.png
25.png,1,25.png
26.png,1,26.png
27.png,0,27.png
28.png,0,28.png
29.png,0,29.png
30.png,1,30.png
31.png,0,31.png
32.png,0,32.png
33.png,0,33.png
34.png,0,34.png
35.png,0,35.png
36.png,0,36.png
37.png,0,37.png
38.png,1,38.png
39.png,1,39.png
40.png,0,40.png
41.png,0,41.png
42.png,0,42.png
43.png,0,43.png
44.png,0,44.png
45.png,0,45.png
46.png,0,46.png
47.png,0,47.png
48.png,0,48.png
49.png,0,49.png
50.png,0,50.png
51.png,0,51.png
52.png,0,52.png
53.png,1,53.png
54.png,1,54.png
55.png,1,55.png
56.png,0,56.png
57.png,0,57.png
58.png,0,58.png
59.png,0,59.png
60.png,1,60.png
61.png,0,61.png
62.png,0,62.png
63.png,0,63.png
64.png,0,64.png
65.png,0,65.png
66.png,0,66.png
67.png,0,67.png
68.png,0,68.png
69.png,0,69.png
70.png,0,70.png
71.png,0,71.png
72.png,0,72.png
73.png,0,73.png
74.png,0,74.png
75.png,0,75.png
76.png,0,76.png
77.png,0,77.png
78.png,0,78.png
79.png,0,79.png
80.png,0,80.png
81.png,0,81.png
82.png,1,82.png
83.png,1,83.png
84.png,0,84.png
85.png,0,85.png
86.png,0,86.png
87.png,1,87.png
88.png,0,88.png
89.png,0,89.png
90.png,0,90.png
91.png,0,91.png
92.png,1,92.png
93.png,1,93.png
94.png,0,94.png
95.png,0,95.png
96.png,0,96.png
97.png,0,97.png
98.png,1,98.png
99.png,1,99.png
100.png,1,100.png
101.png,0,101.png
102.png,0,102.png
103.png,0,103.png
104.png,0,104.png
105.png,0,105.png
106.png,1,106.png
107.png,1,107.png
108.png,0,108.png
109.png,0,109.png
110.png,0,110.png
111.png,0,111.png
112.png,0,112.png
113.png,0,113.png
114.png,0,114.png
115.png,0,115.png
116.png,1,116.png
117.png,1,117.png
118.png,0,118.png
119.png,1,119.png
120.png,0,120.png
121.png,1,121.png
122.png,0,122.png
123.png,0,123.png
124.png,1,124.png
125.png,1,125.png
126.png,1,126.png
127.png,0,127.png
128.png,0,128.png
129.png,0,129.png
130.png,0,130.png
131.png,0,131.png
132.png,1,132.png
133.png,1,133.png
134.png,0,134.png
135.png,0,135.png
136.png,0,136.png
137.png,0,137.png
138.png,0,138.png
139.png,1,139.png
140.png,0,140.png
141.png,0,141.png
142.png,0,142.png
143.png,0,143.png
144.png,0,144.png
145.png,1,145.png
146.png,0,146.png
147.png,0,147.png
148.png,0,148.png
149.png,1,149.png
150.png,0,150.png
151.png,1,151.png
152.png,1,152.png
153.png,0,153.png
154.png,1,154.png
155.png,0,155.png
156.png,0,156.png
157.png,1,157.png
158.png,0,158.png
159.png,0,159.png
160.png,0,160.png
161.png,1,161.png
162.png,0,162.png
163.png,1,163.png
164.png,0,164.png
165.png,0,165.png
166.png,0,166.png
167.png,1,167.png
168.png,0,168.png
169.png,1,169.png
170.png,1,170.png
171.png,0,171.png
172.png,0,172.png
173.png,1,173.png
174.png,0,174.png
175.png,0,175.png
176.png,0,176.png
177.png,0,177.png
178.png,0,178.png
179.png,0,179.png
180.png,0,180.png
181.png,0,181.png
182.png,0,182.png
183.png,0,183.png
184.png,1,184.png
185.png,0,185.png
186.png,0,186.png
187.png,0,187.png
188.png,0,188.png
189.png,1,189.png
190.png,0,190.png
191.png,0,191.png
192.png,0,192.png
193.png,0,193.png
194.png,0,194.png
195.png,1,195.png
196.png,0,196.png
197.png,0,197.png
198.png,0,198.png
199.png,0,199.png
200.png,0,200.png
201.png,0,201.png
202.png,0,202.png
203.png,0,203.png
204.png,0,204.png
205.png,0,205.png
206.png,0,206.png
207.png,0,207.png
208.png,0,208.png
209.png,0,209.png
210.png,0,210.png
211.png,1,211.png
212.png,0,212.png
213.png,0,213.png
214.png,1,214.png
215.png,1,215.png
216.png,1,216.png
217.png,0,217.png
218.png,0,218.png
219.png,1,219.png
220.png,0,220.png
221.png,0,221.png
222.png,0,222.png
223.png,0,223.png
224.png,1,224.png
225.png,1,225.png
226.png,0,226.png
227.png,0,227.png
228.png,0,228.png
229.png,1,229.png
230.png,1,230.png
231.png,1,231.png
232.png,0,232.png
233.png,1,233.png
234.png,0,234.png
235.png,1,235.png
236.png,1,236.png
237.png,1,237.png
